"exp","treatment","rep","genotype","plant","file.name","hyp_mm"
"1","sun","B","yuc9",9,"yuc_SAS_exp1_001.tif:0705-2180",5.29
"1","sun","B","yuc2yuc5yuc8yuc9",10,"yuc_SAS_exp1_001.tif:1307-0901",2.457
"1","sun","B","yuc2yuc5yuc8yuc9",11,"yuc_SAS_exp1_001.tif:1295-1218",2.794
"1","sun","B","yuc5",12,"yuc_SAS_exp1_001.tif:1809-0577",7.385
"1","sun","B","yuc5",13,"yuc_SAS_exp1_001.tif:1817-0736",8.429
"1","sun","B","yuc5",14,"yuc_SAS_exp1_001.tif:1897-0919",6.917
"1","sun","B","yuc5",15,"yuc_SAS_exp1_001.tif:1918-1221",4.814
"1","sun","B","Col",16,"yuc_SAS_exp1_001.tif:1836-1516",6.027
"1","sun","B","Col",17,"yuc_SAS_exp1_001.tif:1788-1655",8.082
"1","sun","B","Col",18,"yuc_SAS_exp1_001.tif:1850-1746",6.119
"1","sun","B","Col",19,"yuc_SAS_exp1_001.tif:1893-1848",5.667
"1","sun","B","Col",20,"yuc_SAS_exp1_001.tif:1871-2171",5.79
"1","sun","A","Col",21,"yuc_SAS_exp1_001.tif:0691-3122",2.137
"1","sun","A","Col",22,"yuc_SAS_exp1_001.tif:0675-3285",3.665
"1","sun","A","Col",23,"yuc_SAS_exp1_001.tif:0682-3648",3.615
"1","sun","A","yuc9",24,"yuc_SAS_exp1_001.tif:0733-3911",6.08
"1","sun","A","yuc9",25,"yuc_SAS_exp1_001.tif:0683-4108",5.727
"1","sun","A","yuc9",26,"yuc_SAS_exp1_001.tif:0692-4419",5.777
"1","sun","A","yuc9",27,"yuc_SAS_exp1_001.tif:0764-4591",5.791
"1","sun","A","yuc2yuc5yuc8yuc9",28,"yuc_SAS_exp1_001.tif:1328-2958",1.524
"1","sun","A","yuc2yuc5yuc8yuc9",29,"yuc_SAS_exp1_001.tif:1313-3132",0.661
"1","sun","A","yuc2yuc5yuc8yuc9",30,"yuc_SAS_exp1_001.tif:1330-3601",1.955
"1","sun","A","yuc1yuc4",31,"yuc_SAS_exp1_001.tif:1349-4350",1.325
"1","sun","A","yuc5",32,"yuc_SAS_exp1_001.tif:1921-2941",3.183
"1","sun","A","yuc5",33,"yuc_SAS_exp1_001.tif:1933-3238",2.227
"1","sun","A","yuc5",34,"yuc_SAS_exp1_001.tif:1921-3406",5.781
"1","sun","A","yuc5",35,"yuc_SAS_exp1_001.tif:1917-3609",5.75
"1","sun","A","Col",36,"yuc_SAS_exp1_001.tif:1904-3894",5.345
"1","sun","A","Col",37,"yuc_SAS_exp1_001.tif:1856-4051",5.71
"1","sun","A","Col",38,"yuc_SAS_exp1_001.tif:1860-4177",5.857
"1","sun","A","Col",39,"yuc_SAS_exp1_001.tif:1956-4333",4.195
"1","shade","B","Col",40,"yuc_SAS_exp1_001.tif:3255-0671",4.802
"1","shade","B","Col",41,"yuc_SAS_exp1_001.tif:3318-0828",2.462
"1","shade","B","Col",42,"yuc_SAS_exp1_001.tif:3301-1048",4.741
"1","shade","B","yuc9",43,"yuc_SAS_exp1_001.tif:3317-1437",7.998
"1","shade","B","yuc9",44,"yuc_SAS_exp1_001.tif:3480-1659",5.707
"1","shade","B","yuc9",45,"yuc_SAS_exp1_001.tif:3373-1760",6.8
"1","shade","B","yuc9",46,"yuc_SAS_exp1_001.tif:3338-1857",6.91
"1","shade","B","yuc2yuc5yuc8yuc9",47,"yuc_SAS_exp1_001.tif:3903-0429",1.857
"1","shade","B","yuc2yuc5yuc8yuc9",48,"yuc_SAS_exp1_001.tif:3931-0730",1.606
"1","shade","B","yuc2yuc5yuc8yuc9",49,"yuc_SAS_exp1_001.tif:3948-1084",1.778
"1","shade","B","yuc1yuc4",50,"yuc_SAS_exp1_001.tif:3949-1581",4.128
"1","shade","B","yuc1yuc4",51,"yuc_SAS_exp1_001.tif:3935-2018",3.592
"1","shade","B","yuc5",52,"yuc_SAS_exp1_001.tif:4472-0405",6.195
"1","shade","B","yuc5",53,"yuc_SAS_exp1_001.tif:4421-0721",9.234
"1","shade","B","yuc5",54,"yuc_SAS_exp1_001.tif:4473-0918",6.96
"1","shade","B","yuc5",55,"yuc_SAS_exp1_001.tif:4460-1055",6.946
"1","shade","B","Col",56,"yuc_SAS_exp1_001.tif:4572-1403",4.94
"1","shade","B","Col",57,"yuc_SAS_exp1_001.tif:4450-1687",8.095
