"set","treatment","plant","rep","leaf","petioleLength","bladeLength","bladeWidth","bladeArea","bladePerimeter","bladeCircularity","who.dissected","genotype"
5,"sun","Col","8","4",8.274,15.475,9.483,115.256,53.679,0.503,"Kazu","Col"
5,"sun","Col","8","5",7.414,15.869,10.233,127.536,57.912,0.478,"Kazu","Col"
5,"sun","Col","8","6",8.68,14.439,10.216,115.846,54.017,0.499,"Kazu","Col"
5,"sun","Col","9","3",9.325,18.877,10.145,150.403,69.173,0.395,"Kazu","Col"
5,"sun","Col","9","4",10.411,17.699,7.933,110.279,54.525,0.466,"Kazu","Col"
5,"sun","Col","9","5",6.695,19.8,9.02,140.269,65.024,0.417,"Kazu","Col"
5,"sun","Col","9","6",8.884,19.802,8.011,124.591,64.347,0.378,"Kazu","Col"
5,"sun","Col","10","3",9.202,13.192,10.446,108.238,50.885,0.525,"Kazu","Col"
5,"sun","Col","10","4",8.633,13.221,9.785,101.609,49.869,0.513,"Kazu","Col"
5,"sun","Col","10","5",8.329,15.385,9.906,119.7,54.779,0.501,"Kazu","Col"
5,"sun","Col","10","6",7.319,15.077,8.87,105.032,49.784,0.533,"Kazu","Col"
5,"shade","Col","9","3",9.451,14.739,11.371,131.625,57.997,0.492,"Kazu","Col"
5,"shade","Col","9","4",11.022,15.208,10.047,120.002,53.34,0.53,"Kazu","Col"
5,"shade","Col","9","5",7.962,15.133,9.253,109.975,51.308,0.525,"Kazu","Col"
5,"shade","Col","9","6",5.83,14.188,8.733,97.308,51.647,0.458,"Kazu","Col"
5,"shade","Col","10","3",6.618,11.535,9.329,84.52,55.287,0.347,"Kazu","Col"
5,"shade","Col","10","4",8.152,15.689,10.682,131.62,54.864,0.549,"Kazu","Col"
5,"shade","Col","10","5",3.068,14.337,8.79,98.98,51.731,0.465,"Kazu","Col"
5,"shade","Col","10","6",5.569,14.103,8.924,98.847,49.276,0.512,"Kazu","Col"
6,"sun","yucQ","1","3",5.062,9.652,6.801,51.552,36.322,0.491,"Kazu","yuc2589"
6,"sun","yucQ","1","4",5.643,12.403,9.068,88.331,46.397,0.516,"Kazu","yuc2589"
6,"sun","yucQ","1","5",6.088,14.897,9.274,108.505,52.324,0.498,"Kazu","yuc2589"
6,"sun","yucQ","1","6",5.337,13.951,9.436,103.387,49.699,0.526,"Kazu","yuc2589"
6,"sun","yucQ","2","3",8.48,12.177,9.127,87.29,46.99,0.497,"Kazu","yuc2589"
6,"sun","yucQ","2","4",8.385,14.584,10.703,122.597,56.896,0.476,"Kazu","yuc2589"
6,"sun","yucQ","2","5",8.88,16.643,10.216,133.532,59.605,0.472,"Kazu","yuc2589"
6,"sun","yucQ","2","6",6.662,16.461,9.358,120.985,57.827,0.455,"Kazu","yuc2589"
6,"sun","yucQ","3","3",8.456,13.637,10.245,109.731,55.033,0.455,"Kazu","yuc2589"
6,"sun","yucQ","3","4",9.31,14.916,11.336,132.801,59.097,0.478,"Kazu","yuc2589"
6,"sun","yucQ","3","5",9.106,17.637,11.738,162.595,63.5,0.507,"Kazu","yuc2589"
6,"sun","yucQ","3","6",9.553,17.25,11.113,150.564,62.569,0.483,"Kazu","yuc2589"
6,"shade","yucQ","2","3",6.072,13.203,8.995,93.281,50.038,0.468,"Kazu","yuc2589"
6,"shade","yucQ","2","4",6.436,14.013,9.853,108.437,52.324,0.498,"Kazu","yuc2589"
6,"shade","yucQ","2","5",4.076,16.362,9.224,118.537,56.049,0.474,"Kazu","yuc2589"
6,"shade","yucQ","2","6",3.717,16.378,10.072,129.554,58.589,0.474,"Kazu","yuc2589"
6,"shade","yucQ","3","3",10.484,16.737,11.895,156.363,62.569,0.502,"Kazu","yuc2589"
6,"shade","yucQ","3","4",9.882,17.09,12.926,173.498,65.278,0.512,"Kazu","yuc2589"
6,"shade","yucQ","3","5",7.313,20.411,11.379,182.412,72.39,0.437,"Kazu","yuc2589"
6,"shade","yucQ","3","6",7.608,19.498,10.493,160.686,67.818,0.439,"Kazu","yuc2589"
6,"shade","yucQ","1","3",7.558,12.621,10.397,103.054,50.969,0.498,"Kazu","yuc2589"
6,"shade","yucQ","1","4",7.727,13.953,11.191,122.645,56.557,0.482,"Kazu","yuc2589"
6,"shade","yucQ","1","5",9.029,17.334,11.106,151.199,64.516,0.456,"Kazu","yuc2589"
6,"shade","yucQ","1","6",6.203,16.186,9.91,125.978,59.436,0.448,"Kazu","yuc2589"
6,"shade","Col","4","3",8.144,11.445,9.381,84.322,45.381,0.515,"Kazu","Col"
