Timepoint,Genotype,Treatment,Int
180,yuccaQ,No FR,167726464
200,yuccaQ,No FR,167727264
220,yuccaQ,No FR,167727152
240,yuccaQ,No FR,167728608
260,yuccaQ,No FR,167728592
280,yuccaQ,No FR,167728896
300,yuccaQ,No FR,167729776
320,yuccaQ,No FR,167728832
340,yuccaQ,No FR,167727504
360,yuccaQ,No FR,167727120
380,yuccaQ,No FR,167727568
400,yuccaQ,No FR,167727568
420,yuccaQ,No FR,167728512
440,yuccaQ,No FR,167727680
460,yuccaQ,No FR,167727376
480,yuccaQ,No FR,167727360
500,yuccaQ,No FR,167726608
520,yuccaQ,No FR,167726944
540,yuccaQ,No FR,167727056
560,yuccaQ,No FR,167726816
580,yuccaQ,No FR,167727600
600,yuccaQ,No FR,167728256
620,yuccaQ,No FR,167728688
640,yuccaQ,No FR,167730064
660,yuccaQ,No FR,167726144
680,yuccaQ,No FR,167730672
700,yuccaQ,No FR,167729264
720,yuccaQ,No FR,167729264
740,yuccaQ,No FR,167729392
760,yuccaQ,No FR,167730416
780,yuccaQ,No FR,167727072
800,yuccaQ,No FR,167730128
820,yuccaQ,No FR,167728464
840,yuccaQ,No FR,167729024
860,yuccaQ,No FR,167730448
880,yuccaQ,No FR,167729456
900,yuccaQ,No FR,167729952
920,yuccaQ,No FR,167727616
940,yuccaQ,No FR,167728320
960,yuccaQ,No FR,167726960
980,yuccaQ,No FR,167728352
1000,yuccaQ,No FR,167727056
1020,yuccaQ,No FR,167725504
1040,yuccaQ,No FR,167723984
1060,yuccaQ,No FR,167722656
0,Col,FR,167934160
20,Col,FR,167987760
40,Col,FR,168069552
60,Col,FR,168151648
80,Col,FR,168217584
100,Col,FR,168258336
120,Col,FR,168276080
140,Col,FR,168281088
160,Col,FR,168281840
180,Col,FR,168274320
200,Col,FR,168261936
220,Col,FR,168247552
240,Col,FR,168237888
260,Col,FR,168226352
280,Col,FR,168218304
300,Col,FR,168210704
320,Col,FR,168206416
340,Col,FR,168199216
360,Col,FR,168190464
380,Col,FR,168183376
400,Col,FR,168172976
420,Col,FR,168162432
440,Col,FR,168151040
460,Col,FR,168139344
480,Col,FR,168128176
500,Col,FR,168115488
520,Col,FR,168101632
540,Col,FR,168091008
560,Col,FR,168079968
580,Col,FR,168069296
600,Col,FR,168062560
620,Col,FR,168054864
640,Col,FR,168047904
660,Col,FR,168042768
680,Col,FR,168037200
700,Col,FR,168033728
720,Col,FR,168029152
740,Col,FR,168027056
760,Col,FR,168025360
780,Col,FR,168021600
800,Col,FR,168022672
820,Col,FR,168023104
840,Col,FR,168022368
860,Col,FR,168016944
880,Col,FR,168012944
900,Col,FR,168009456
920,Col,FR,167999248
940,Col,FR,167989408
960,Col,FR,167981648
980,Col,FR,167971360
1000,Col,FR,167960432
1020,Col,FR,167949248
1040,Col,FR,167979264
1060,Col,FR,167958960
0,Col,FR,167848480
20,Col,FR,167893504
40,Col,FR,167940560
60,Col,FR,167986384
80,Col,FR,168019136
100,Col,FR,168040144
120,Col,FR,168051232
140,Col,FR,168058864
160,Col,FR,168066032
180,Col,FR,168070448
200,Col,FR,168072208
220,Col,FR,168072384
240,Col,FR,168069440
260,Col,FR,168065088
280,Col,FR,168060592
300,Col,FR,168051808
320,Col,FR,168043168
340,Col,FR,168034016
360,Col,FR,168023440
380,Col,FR,168015968
400,Col,FR,168006656
420,Col,FR,167996336
440,Col,FR,167986160
460,Col,FR,167977120
480,Col,FR,167968608
500,Col,FR,167958432
520,Col,FR,167946704
540,Col,FR,167936288
560,Col,FR,167929200
580,Col,FR,167920224
600,Col,FR,167914576
620,Col,FR,167906432
640,Col,FR,167897456
660,Col,FR,167890688
680,Col,FR,167885264
700,Col,FR,167879920
720,Col,FR,167873776
740,Col,FR,167868960
760,Col,FR,167863952
780,Col,FR,167856128
800,Col,FR,167855984
820,Col,FR,167851584
840,Col,FR,167848592
860,Col,FR,167842176
880,Col,FR,167839120
900,Col,FR,167837392
920,Col,FR,167830624
940,Col,FR,167824768
960,Col,FR,167820752
980,Col,FR,167816736
1000,Col,FR,167812768
1020,Col,FR,167806192
1040,Col,FR,167803296
1060,Col,FR,167800448
0,Col,FR,168115600
20,Col,FR,168205360
40,Col,FR,168323856
60,Col,FR,168460816
80,Col,FR,168584544
100,Col,FR,168681840
