Plant,time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
treat,,control,control,control,control,control,control,control,control,control,control,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR,EOD-FR
gt,,Col,Col,Col,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,yuccaQ,Col,Col,Col
treat_gt,,Col control,Col control,Col control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ control,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,yuccaQ EOD-FR,Col EOD-FR,Col EOD-FR,Col EOD-FR
TL,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A,A


,372,19342416,18326776,19309292,16469401,3805874,10608948,13932302,12803418,11359094,4058811,14762213,20296616,20859574,18856084,12370957,11667355,39035160,35331036,41350312
,376,19701520,18213024,19590048,15882531,4322013,10209472,14613258,12228979,11006155,4212006,14884301,20382826,20193400,17516816,12452108,11803985,39464792,34562544,41701528
,380,19926438,18590152,19806034,16316310,4100766,10368917,14667407,12762312,11193405,4363517,14487200,19886636,20417956,18832968,12739559,10896764,39449852,34028540,41644108
,384,20450368,18362832,19748360,15947286,4194849,10169226,14397007,12490284,11008893,3729537,14009819,20010808,19917552,17787156,12638499,11454038,39312632,33557152,42063448
,388,20622354,18341380,20629280,16162321,4224524,10234953,14677935,12687980,10683606,4242737,14399586,20614572,20731516,17992484,13060849,11291836,38109000,33605544,42620260
,392,20746214,19218712,20286116,16512981,4634485,10059907,14781018,12647491,10901967,4310504,15225032,20174752,20038716,17830372,12433905,11883666,37603680,33015472,43663448
,396,21661980,19701620,20148176,15767876,4583841,10091618,15095929,12621112,11490512,4312640,14838524,19190484,20874128,18305698,12313017,11502415,38705688,32545664,43304828
,400,20909198,18793318,20145700,15980608,4502930,9630695,14699509,12426573,10851009,4315126,14478127,19707726,20103146,17971338,12594750,11459674,38007808,33049038,43054212
,404,20992212,19379852,20510968,15518804,4551182,9074258,14408664,11917605,10912082,3921596,14226806,19807228,20319608,17664844,12395251,10945711,38193896,32246702,42510232
,408,21428904,19521564,20342096,15472963,4891969,9806340,15017434,12083849,10450921,3757437,14504767,20641064,19570804,18003816,12128894,11851776,37878528,31992380,43063428
,412,22262408,18557918,20296584,15510209,4903401,9909246,14278078,12399148,10871121,4341136,13914359,18946140,20095386,18269774,11955178,11427447,37126720,31864612,43187928
,416,21402872,19389508,20513770,15236067,5168069,9783666,14088127,12530484,11253290,4359464,13998682,19232316,19735768,18075378,12010961,12016610,37129372,31553216,43110608
,420,21628070,19079384,20420572,15820500,5082510,9394784,14750061,12381139,11513341,4377012,14503334,19069984,19170884,18147172,12081059,11559656,36474880,30512722,43297216
,424,21413196,18807958,20729564,14985881,4671158,9940954,14274033,12154532,11002040,4240144,13577966,19139660,19345498,17555280,11994683,12061280,35962588,31929996,41602292
,428,22703928,18958348,20885532,15673010,4149252,9661616,14035508,11278178,11322249,4444878,14011587,19096144,18648064,18824056,11807047,12117656,35719580,30978052,41986432
,432,22074112,19008612,21132376,15364853,4330029,9456012,14899756,12362916,11321439,4805986,13936421,18672242,19612112,17644372,11826109,11947230,36062492,30637006,42707844
,436,21805960,18981488,21212200,15277923,4257075,9398441,14536408,12255648,10754984,4627870,13659889,18448156,18638588,17606652,11664466,12121011,35436664,30485976,41413160
,440,21905866,19268386,20629218,15235940,4093302,9442480,14202093,12602677,10740865,4742137,13322810,18431260,19161124,18466382,12118152,11188906,35930016,31485108,41687084
,444,21933824,18601848,21210128,15273736,4274474,9682335,14246089,11752918,10864333,4766468,14733379,18630178,18378300,18162174,11772965,11371719,35439704,30421700,42064180
,448,21738442,18654512,21320300,15220919,4449966,9655294,14495970,11772641,11274014,5150299,14231850,18588288,18679844,18030784,11692995,11352945,34751508,30533180,41468260
,452,22398696,18626044,21894688,15527093,4228147,9751039,15027276,12062437,11040222,4734649,13559631,18126436,18251544,18490904,11400492,10911386,33996600,30307112,41440056
